epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.43824701195219123,0.8441558441558441,0.5769618721000604,0.0802977469373448,0.22428206610037935,0.11825698103033852,0.5974178403755869,0.3004722550177096,0.39984289080911234,0.43493694947445205,0.07148257738547013,0.1227852106785273,16.53782081604004,106.8103720973915
1,0.4784719974101651,0.8740390301596689,0.6184100418410042,0.22429814827258013,0.3020661770661771,0.2574372194700561,0.6009389671361502,0.30277942046126555,0.40267400707825407,0.6006505927621112,0.07562358062360788,0.13433412162098277,22.62091827392578,69.6717730240083
2,0.495,0.874043555032372,0.6320493722068524,0.2283762091138072,0.3075633640552996,0.26211968162715243,0.6115023474178404,0.30665097115950557,0.40846726773814185,0.4898386864883946,0.07200986392108863,0.12556129986134687,23.955976486206055,62.86015088793256
3,0.5,0.8916372202591284,0.6407109606432501,0.269494671276155,0.3283082434698814,0.29600833307664687,0.4671361502347418,0.23439340400471143,0.312156862745098,0.4626548026339992,0.05439689513056106,0.09734804039650163,23.633846282958984,51.59993440332548
4,0.5078241430700448,0.8017647058823529,0.6218065693430657,0.1623187276224775,0.3881015627831805,0.2289019971005537,0.8231046931407943,0.4023529411764706,0.5404978269458711,0.3572283355474402,0.1770010338569821,0.23671399715592803,33.5396614074707,7.390155392633355
5,0.619821283509342,0.8997641509433962,0.734006734006734,0.32166243986902715,0.4196097903472566,0.36416502184804095,0.8789659224441834,0.4410377358490566,0.5873576756968983,0.8069332802647675,0.1531681503613686,0.257465459503757,39.08598327636719,5.609668268284328
6,0.6250506688285367,0.9065255731922398,0.7399232245681381,0.3484622563736095,0.41110297630468223,0.3771996520164851,0.9025821596244131,0.4520870076425632,0.6024285154719937,0.8666938923477925,0.15515014500301672,0.2631863144587198,41.81993103027344,5.197246141836677
7,0.6585987261146496,0.9118165784832452,0.764792899408284,0.4177383401731426,0.43894360854031456,0.4280785295794112,0.9131455399061033,0.4573780129335685,0.609479044261653,0.9279311464225247,0.14273450935293078,0.2474120584394633,46.07514572143555,4.8713268461361725
8,0.49736564805057953,0.8329411764705882,0.6228282383989443,0.23138192926048656,0.49258677686981434,0.3148635508558265,0.8135391923990499,0.40294117647058825,0.5389457120377655,0.44733245761481977,0.18677452496837563,0.26352117093421884,40.19085693359375,6.664762540602349
9,0.611244019138756,0.9033588685916323,0.7291319857312724,0.3644165424319044,0.500182648181074,0.4216400690945652,0.9131455399061033,0.4584560989982322,0.6104354648881914,0.7718828534611392,0.18471696952483327,0.2980971940272111,48.56351852416992,5.176180245171131
10,0.6392352452202826,0.9047058823529411,0.749147588894301,0.3540273652409562,0.4012722052335863,0.3761721762241172,0.9014084507042254,0.45176470588235296,0.6018808777429467,0.8325846500762115,0.1410353972918586,0.24121094716573824,45.01980972290039,4.987373919554161
11,0.6516995383969786,0.9119201409277745,0.7601566324033285,0.4638152236839499,0.41774199747766716,0.4395746375872811,0.9213615023474179,0.46095126247798,0.614481409001957,0.9545369881349904,0.14971546500597444,0.25883383575474683,49.30321502685547,4.74112708132032
12,0.5519063797659494,0.8584850264239577,0.6718749999999999,0.24957796834652946,0.48306049625151426,0.3291152814616803,0.8613744075829384,0.42689371697005285,0.5708676874754613,0.4987800198852551,0.20071619569999916,0.2862438019018463,43.60615158081055,6.2334239214238965
13,0.630718954248366,0.9093050647820966,0.7448142788229619,0.3480787978192645,0.4499567437408264,0.3925148549795121,0.9178403755868545,0.46054181389870436,0.6133333333333333,0.8121237281847633,0.16593395158262178,0.27556431932267833,46.20872497558594,5.057810769954199
14,0.6454166666666666,0.9122497055359247,0.7559785261102977,0.45303740620465116,0.45119218887907964,0.45211291481927085,0.9248826291079812,0.464075382803298,0.6180392156862745,0.9605546699595022,0.1914432034357923,0.3192569488870177,51.57666015625,4.772270719769976
15,0.641914191419142,0.9152941176470588,0.7546071774975752,0.3883225762212385,0.4329033878892526,0.40940293216895657,0.9330985915492958,0.4676470588235294,0.6230407523510972,0.9636764879215963,0.16656274655494968,0.28403296881299295,48.05606460571289,4.663902403603135
16,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.607900619506836,nan
17,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.686880111694336,nan
18,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.24457550048828,nan
19,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.396465301513672,nan
20,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.970600128173828,nan
21,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.965559005737305,nan
22,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,15.91990852355957,nan
23,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,15.69078254699707,nan
24,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,15.474321365356445,nan
25,-1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,0.0,-1,16.81443214416504,nan
