epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,entropy_loss,cosine_loss,overall_loss
0,0.4413294843782396,0.6792526007275655,0.5350330047679999,0.37224313498821493,0.5548674562164633,0.4455684216411962,0.589941000608514,0.5473433058573441,0.5678443915880186,0.4919606178214861,0.41081432058834244,0.44774053502758315,45.709651947021484,15.757679539960051,0.44113049151184486,16.198810029314235
1,0.5380291676849311,0.7674052108852221,0.6325655179111966,0.5033077980430731,0.6870952990386149,0.5810139823269315,0.6874544090369105,0.6477473010324564,0.6670104369674403,0.6136815446725775,0.5615257650672053,0.586446316363017,62.698184967041016,12.34471605272564,0.37307389565381305,12.717789943509077
2,0.5703100487749223,0.7853029402956497,0.6607581393715701,0.5441053477402944,0.7137184553399691,0.6174760365965809,0.7170361573667811,0.6699347528315504,0.6926856754163769,0.6664590976869774,0.5929991940308463,0.6275868131271913,67.49475860595703,11.385956750651399,0.31856908899117836,11.70452583696733
3,0.5887240377606198,0.7969532431317872,0.67719307759856,0.5670896307555122,0.7286336896249532,0.6377914227616316,0.7344988357296358,0.6829232370441647,0.7077726982479438,0.683936873775766,0.6101601181802216,0.644945481404883,70.2818603515625,10.794797146213087,0.2742679195502331,11.069065062514333
4,0.6002502826657299,0.8053996730148911,0.6878545820491855,0.5832453693275339,0.7407864934872171,0.6526433451054365,0.7450071364381244,0.6919368221564324,0.7174919625606785,0.7098674764222958,0.6236359941888507,0.6639636403766681,72.14463806152344,10.387308679532026,0.25000854926606686,10.63731723650902
5,0.6100685333421906,0.8115567774559379,0.6965340996475319,0.5965436683847797,0.7491092566110135,0.6641777766895224,0.754409870049997,0.6985615395944819,0.7254123746816856,0.7213450575421845,0.6332809414478258,0.6744504793052026,73.56006622314453,10.075290784299021,0.22054050538200187,10.295831292212876
6,0.6193749720703677,0.8165447493740488,0.7044229197284329,0.6062327238407982,0.7557067137642572,0.6727672712315377,0.7623553036299597,0.704526486327262,0.7323010034980826,0.7219066559986654,0.6405606760997455,0.6788052891296928,74.7994155883789,9.751418754979156,0.1978380364568738,9.94925679065964
7,0.627663484110972,0.8217094604546124,0.7116967717794332,0.6167271478677581,0.7626655081441274,0.6819762618930303,0.7697592305603042,0.7096077372477785,0.7384605952542129,0.7299920344866271,0.6476270676559586,0.6863473364611491,75.75872802734375,9.514914952204522,0.1781196612603592,9.693034615020762
8,0.6345317565201676,0.827414033502877,0.7182489031138993,0.6266141866189945,0.7714738295299687,0.6915393603334559,0.7769876664390577,0.7150831680446181,0.7447512399652297,0.7423844035880605,0.6552520025704641,0.6961021693262642,76.91259765625,9.244593192354168,0.1635686190096149,9.408161815526332
9,0.6409540619981212,0.8307738381626621,0.7236227105757184,0.6322807854217523,0.7744769334787913,0.696192211653499,0.7812283414192035,0.7194161601681018,0.7490492158586705,0.760463516877054,0.6613615557344106,0.707458806697392,77.6835708618164,9.046434178764434,0.14998798062048532,9.196422163226323
10,0.6437702829759485,0.8336573583127136,0.7265111582694413,0.6362659954803304,0.7779357618419269,0.7000048887866175,0.7846109473144469,0.721191233651467,0.7515655697445972,0.7612493081779649,0.6638319001895964,0.709210916260226,78.0684585571289,8.915185922208378,0.13913456276511266,9.054320486850552
11,0.651008888600532,0.837480361351139,0.7325644565933936,0.6439897928086648,0.7831526251013115,0.7067862190168175,0.7902084057893469,0.7250883739198744,0.7562491198873454,0.7571569962947229,0.668734204400886,0.7102039500302744,78.95916748046875,8.714748905452897,0.12902026821639556,8.843769172415819
12,0.6564706332797304,0.8417463621546256,0.7376525151009311,0.648680953548561,0.7896640824140488,0.7122631039924004,0.7947139773195987,0.7283447558077882,0.760083304941684,0.7747544970456713,0.6739056471480871,0.7208197627374242,79.69345092773438,8.509699574472688,0.12071994369680783,8.630419523502939
13,0.6586516698762458,0.8429445322702591,0.7394888492648009,0.6545062517921749,0.7918810445102111,0.7166698651635492,0.7983844581873965,0.7307816933908075,0.763088753604614,0.7677452754300396,0.6766018834784403,0.7192978449588293,80.09873962402344,8.40320487455436,0.11306816244392287,8.51627303965796
14,0.662312136509338,0.8470258434468403,0.7433663016525809,0.6577715574561036,0.7970404694517429,0.7207399186287126,0.8007014006563565,0.7330721495620753,0.7653957741713912,0.7731344491849904,0.680210758329525,0.7237019357158468,80.58873748779297,8.271110302435607,0.1072063663263879,8.3783166702883
15,0.6666551157212218,0.8500277380934848,0.7472562094041995,0.6633339051221679,0.8013073970015029,0.7258218979426333,0.8055588371118964,0.7364881118949782,0.7694765809133739,0.7914105563920922,0.6851124365493176,0.7344351793946668,81.20862579345703,8.117445642665288,0.10089609760274246,8.218341740760698
16,0.6713290222951452,0.8537418806859747,0.75162630266303,0.6643838080876396,0.8040747308496732,0.7275850390104271,0.8098656685918325,0.7393964090906859,0.7730283672835626,0.7905149721438677,0.6876869107078128,0.7355244305509187,81.62670135498047,7.9176537762079136,0.09659173565975782,8.01424551673652
17,0.6750458985661055,0.8556615491872094,0.7546978623346086,0.6718682772602178,0.8093578192615732,0.7342320594962055,0.8126133690731859,0.7412227944678198,0.7752780716259103,0.7899248133256843,0.6916156203116552,0.7375085112277727,82.20639038085938,7.817262347309782,0.09121818872463718,7.908480543251145
18,0.6777430951881789,0.8570327458392656,0.7569157792500607,0.6745974863366746,0.8119169492910355,0.7369146507811605,0.8150880161214714,0.7426628700476214,0.7771917971850668,0.8001363116014557,0.6946834350948801,0.7436902579269482,82.60285186767578,7.7209973902002895,0.0874512255859065,7.808448617342105
19,0.6823925962006819,0.8597371482996137,0.7608675816942347,0.6784039883856396,0.8149060596878925,0.7404162608630223,0.81759047182776,0.744802124807918,0.779500775862955,0.7999200418165371,0.6965271716231488,0.7446517849038716,82.87418365478516,7.631336979647513,0.08431024964626767,7.715647233732322
20,0.6857074868145929,0.8629760367622872,0.7641963258997763,0.6812622971605038,0.8191070541362434,0.7438525091690735,0.8209304583256928,0.7472838227280092,0.7823778402008734,0.7939534344900216,0.700529448967216,0.7443213543968809,83.4061279296875,7.477040621969426,0.08108199273824046,7.558122616229265
21,0.6892946817580939,0.8652426212124188,0.7673114515714727,0.6871619052330126,0.8233102545470679,0.7491001266713988,0.8258103604968191,0.7494452408538381,0.7857767894828954,0.80688842393992,0.7030677563179976,0.7514088703176857,83.95195007324219,7.322224277985059,0.07844357938042096,7.400667859760128
22,0.69152887306029,0.8674708259078703,0.7695718261520973,0.6880640862971251,0.8251108105044107,0.7503813566080584,0.8268422133584115,0.7510592024193509,0.7871308651884552,0.8047706748458833,0.7059929265179361,0.752152624536836,84.11872863769531,7.253948605392354,0.07657634869582679,7.330524951849405
23,0.6940321340592785,0.868650121511157,0.7715850044808631,0.6907830033420908,0.8260762785261484,0.7523960323690968,0.8280989145762309,0.7524952745661192,0.78848894216177,0.8067647466664084,0.7073508973383673,0.7537941632860437,84.4609375,7.17397038062064,0.07407949620721024,7.248049883843455
