epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.6043237092874413,0.5223752151462995,0.5603692713484998,0.0959596112781668,0.09814080223117033,0.09703795125791961,0.787672293634815,0.31263830833538236,0.4476127612761276,0.18966380125862708,0.04249889628700078,0.06943839216465476,11.691697120666504,0.32066015259445635
1,0.663128201321357,0.5488449250430081,0.6005983796685379,0.1939677923595919,0.10546928276114342,0.13664068773500992,0.8107743097238895,0.33196116982059476,0.4710549258936357,0.33732464883188823,0.046503238057880134,0.08173813828136557,13.34398078918457,0.19859076912854565
2,0.682786456386875,0.5611868779948397,0.6160434298816467,0.23190868222950156,0.10976779520819982,0.14900706615141737,0.8323148010135639,0.3430396854650448,0.4858398225083743,0.3813056561288057,0.048652644229584326,0.08629454723818311,14.139495849609375,0.18393706945120566
3,0.6975733972438586,0.5721833149035508,0.6286871414107323,0.238329021139373,0.11386230514038516,0.15410198777709222,0.8411396181384249,0.3464184789286153,0.49073187712122535,0.4470992611281237,0.050822978828578114,0.09127094336884202,14.752544403076172,0.17667829319444642
4,0.7550741163055872,0.6105476673427992,0.675163132137031,0.5703241390171082,0.1600202812470507,0.24991887825880987,0.8763593028452257,0.3616079660704407,0.5119658863458358,0.7664637619704653,0.06861871628080995,0.1259606345287207,26.84955596923828,0.138900772959358
5,0.7606165936224876,0.6186086529006883,0.6823019046973496,0.6227454756582024,0.16265204733679098,0.2579351821718848,0.8757153338224505,0.3667649950835792,0.5170009096028069,0.8192691314962602,0.07337541386262439,0.134687904386941,27.68633270263672,0.13388948360974887
6,0.7706220675041623,0.6258373793866389,0.6907240969984738,0.6251350133269563,0.16834364802009202,0.26525605230490334,0.8818448023426062,0.37016778317251553,0.5214492879096143,0.8621959709635028,0.0748650136475691,0.13776758224514613,29.218647003173828,0.1312842667102814
7,0.7767338832875038,0.6249001413384133,0.6925932232249277,0.6630812132735888,0.166532445659005,0.26620713130269963,0.8809837505489679,0.36981503103299945,0.5209487534626039,0.8046615743446092,0.07317030837684628,0.13414262273377925,29.83778953552246,0.13033921456201747
8,0.7576769025367156,0.627572648522455,0.686515003864377,0.5916610378328445,0.19800446324595805,0.2967117749467139,0.8874458874458875,0.36523929471032746,0.5174965181058495,0.8576547576721338,0.08915673175704049,0.1615225333102466,29.82909393310547,0.13496940010869266
9,0.7750112157918349,0.6372970978848992,0.6994399082259262,0.6590418123191596,0.19601570781047287,0.30216106934853215,0.8915343915343915,0.37297097884899166,0.5259233570313855,0.8087629803138813,0.08773259169638517,0.1582938601066884,31.404090881347656,0.12886006711457207
