epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.5134838194167,0.6898225719328547,0.5887323985018815,0.4795128421588477,0.5921488926234548,0.5299116115977909,0.658120187284758,0.5851582471194173,0.6194983272110045,0.6036900897346001,0.48089867891988175,0.5353434868969762,55.44707107543945,7.894468660249093
1,0.5516415147822337,0.7833911915583187,0.6474015228628457,0.5279887144173456,0.7121329499812664,0.6063891496277962,0.7014352373522869,0.6682160514427857,0.6844227994100867,0.6616878625134935,0.5923738554169101,0.6251153106667839,67.49580383300781,6.030101494896369
2,0.5711034622193512,0.7969138669556691,0.6653720808982051,0.550854396093286,0.7322979687234824,0.628747709753264,0.7194454816689204,0.6827819923964838,0.7006344241285937,0.6742662800289039,0.614030705136347,0.6427403062232622,70.58541870117188,5.644458001630183
3,0.583768804236394,0.8052082544881543,0.6768368950822848,0.5653888824739396,0.7443417968554169,0.6426398699284032,0.7317706342184502,0.6914854087678133,0.7110578853614055,0.6889374144224909,0.6267746674894843,0.6563875558826266,72.57482147216797,5.397299451380121
4,0.594563732900055,0.8133134700140717,0.6869444178065273,0.5774703429811787,0.7544040513850196,0.6541847611793901,0.7417981257035922,0.6982656294619357,0.7193738934406619,0.7037661604504117,0.6365263677780051,0.6684596212271499,73.96548461914062,5.2112104146799405
5,0.6024820818702198,0.8187626439866231,0.6941659143315106,0.5894636992204271,0.7632827104707685,0.6652059053223475,0.7487300541648367,0.7038761130148768,0.7256105779120825,0.7201791475730888,0.644660198525846,0.6803303752572031,75.23604583740234,5.052768852408852
6,0.6097667731222882,0.8244176845002581,0.7010290880100642,0.599201544038027,0.7723480571251511,0.6748456606624769,0.7555267009254267,0.708687424737657,0.7313578835430274,0.7266950601982025,0.6538258957173231,0.6883373216632537,76.42012023925781,4.916296884290865
7,0.6163045593763765,0.8279988302282775,0.7066374806025718,0.6069546114617325,0.7783541433769093,0.6820510373920057,0.760336220819263,0.7126868624314049,0.7357408607783766,0.7353322945894827,0.6594151910806255,0.6953076317058393,77.22064208984375,4.810569819744214
8,0.6243901307497816,0.8335047875286856,0.7139501712237935,0.6136699222004357,0.784702364332017,0.6887268054549669,0.7678758271070044,0.7170902560115052,0.7416146128924939,0.7439137039577504,0.6643808905911502,0.701901507073135,78.12174224853516,4.6759239598139155
9,0.6299974106680476,0.8370892051084443,0.7189269209403477,0.6213217395518452,0.7897073823480913,0.6954673818167244,0.7736040046548571,0.72044960365518,0.7460812589851801,0.7495702576101134,0.6700230674892234,0.707567941357391,78.84876251220703,4.576111918046721
10,0.633185972645362,0.8401850991725586,0.7221445152514305,0.6254154845299732,0.7949829339523473,0.7000777111004021,0.776134231559042,0.7229980561146376,0.7486244480425214,0.7524897533823636,0.6744632879133882,0.7113432586773021,79.49537658691406,4.49588822796154
11,0.6386623547056618,0.8438767611085307,0.7270665759600891,0.6313810076286397,0.8008919484446084,0.7061055831103201,0.7805893290845843,0.7264901687567735,0.7525687586204438,0.7592601389120072,0.6787421385803735,0.7167469182630662,80.21451568603516,4.396678494719688
12,0.6439463641591301,0.8476091848039249,0.7318733159644344,0.6376602736698002,0.8052537348059277,0.7117240721121103,0.7857277739311381,0.7301017704899985,0.7568941257037688,0.7648611592260874,0.684403663777826,0.7223990693028446,80.86486053466797,4.299762761820826
13,0.6492041083021501,0.8511809533639538,0.736597805391098,0.6438703261289436,0.8107514409696787,0.717738186673602,0.7894627609108159,0.7328826271696685,0.7601212534278715,0.7694546130665658,0.6878565266648675,0.7263711408502197,81.62921905517578,4.213441517767435
14,0.651954655768362,0.8540051057270844,0.7394256061341761,0.6466292892904428,0.8150993924128016,0.7211559127413568,0.7920147734478424,0.7348428027826901,0.7623584085721373,0.7745088283620656,0.6904842820727121,0.7300869451213262,82.01807403564453,4.157861294960751
15,0.6550721507752356,0.8557778985831367,0.7420938548452785,0.650409661817201,0.8183137608446616,0.7247643337596219,0.7942715484929229,0.7363904735034854,0.7642366417665292,0.7759434956549871,0.6936309025399907,0.7324819864476099,82.48786926269531,4.101704182184098
16,0.6600632678895639,0.8593103827919106,0.7466224245005941,0.6565404920241109,0.8233289257780422,0.7305357777185522,0.7986271893802284,0.7393567609597665,0.767849900935618,0.7818895245166856,0.6980845870681189,0.737614288767026,83.0561752319336,4.0163093538712475
17,0.6645029275416866,0.8625479091978779,0.7506830774942995,0.6600554807016501,0.8263671578183533,0.733907244756363,0.8024227172553458,0.741603418497595,0.7708152296353512,0.7860797804099244,0.7006806046672589,0.7409275379983148,83.51114654541016,3.9363400086385094
18,0.6679468689492514,0.8652379297650463,0.7538986383994148,0.6642447205134709,0.8302410137223012,0.7380240540078491,0.8056116179482405,0.7443480714116145,0.7737690963746618,0.7908046618190656,0.7039914227914211,0.7448771170271862,83.88341522216797,3.882233232899547
19,0.66958363450827,0.8668997051466869,0.7555719484164646,0.6672172298621545,0.8343381495924497,0.7414775326389753,0.8073812647207895,0.7453664679187898,0.7751354697207955,0.7936834498026629,0.7060946176308427,0.7473313874596799,84.36031341552734,3.8390253616424825
20,0.6757946092681258,0.8702193688672364,0.760781683320199,0.6733461605825521,0.8372632976662413,0.746411355763402,0.812042332068743,0.7489540756643683,0.7792233360717208,0.7981274615068015,0.7108421006596223,0.7519602986783833,84.86067199707031,3.751275348672498
21,0.6795916072231861,0.8732044987734684,0.7643275848828753,0.6773408012555404,0.8414478108106257,0.7505283221920286,0.815924452685728,0.7508850638381322,0.7820548423796684,0.8037646743448523,0.714466402391049,0.7564893961765131,85.29035186767578,3.679930884284058
22,0.6806701334274923,0.8754765148700164,0.7658798954984891,0.6787454043872863,0.8444279871144295,0.7525756670747092,0.8158719134938148,0.7517787594786893,0.7825151171681252,0.8023209703681035,0.7146139340944647,0.7559319036756817,85.56380462646484,3.6490883805875374
23,0.6833368608024948,0.8775425244963118,0.7683580929543904,0.68246444864146,0.8475936510909557,0.7561183903604103,0.8178690949293334,0.7533751238577563,0.7842984856516568,0.8040481656510476,0.7180446361698831,0.7586166518589067,85.94562530517578,3.6015218085689105
24,0.6885488382099828,0.8808755427415415,0.7729277548174022,0.6880309562411248,0.8527591187922166,0.761589370872929,0.8225568526436385,0.7558815636461222,0.787810982737724,0.8109622026129241,0.721397439682656,0.7635623394100376,86.52761840820312,3.50685046766288
25,0.6909484604383973,0.8826814104791625,0.7751344492114327,0.6901357257734129,0.8547511704936204,0.7636731476325834,0.8254587319385432,0.7573154242343964,0.7899201883325677,0.8133228665741152,0.721837600144409,0.7648542792472453,86.79186248779297,3.4658155819730867
26,0.6932349562318981,0.8844330372195118,0.7772483189008756,0.6917757620246714,0.8571745318007882,0.7656444074266067,0.8260773447540682,0.758516999594019,0.7908569296746225,0.8142843804772593,0.7242952110234758,0.7666581312385945,87.04634857177734,3.4275064849363512
27,0.6951810902928263,0.8863012378979818,0.7791928495270071,0.69292820018641,0.8579681457079978,0.7666667402970225,0.827629745080702,0.7600136244469369,0.7923818337691594,0.8168736127280682,0.7254738495244417,0.7684655486582531,87.1865234375,3.3886478781112843
28,0.700403289191958,0.8891125217181882,0.7835560117097546,0.6978747028104104,0.8616258837649546,0.7711531662667521,0.8312427963763191,0.7617587861898126,0.7949854043165879,0.8176360889128631,0.7277488232555966,0.7700783110697033,87.5883560180664,3.3176123901529024
29,0.7020880172921136,0.8906580608758777,0.7852103491158361,0.702010735449862,0.8646136326735997,0.7748737534067732,0.8325061196293683,0.7629026653409345,0.7961860854234999,0.8196981305635731,0.7287469215343811,0.7715514198277185,87.88951873779297,3.2871032811391188
30,0.7041037478672935,0.8930821288615635,0.7874130159134619,0.7037582903373131,0.8675867957961714,0.7771321595960031,0.8355204283447514,0.7645198914169129,0.7984448632518097,0.8252669712362902,0.7321435361450279,0.7759211533773197,88.25354766845703,3.2387533479382196
31,0.707633996666567,0.895425848514562,0.7905304019779966,0.7055683962033978,0.8700961678169943,0.7792424500592042,0.8373392074458887,0.766386265503776,0.8002931661041064,0.8267562918473299,0.7337001392363842,0.7774535634060272,88.5097885131836,3.1877274160368234
32,0.7128153959705859,0.8971258119564021,0.7944204269528049,0.7138203251494227,0.8740775850955664,0.7858620405923649,0.8404041697904933,0.7674742651106463,0.802285245707072,0.8318440118134284,0.7369123416666844,0.7815058307645777,88.99089813232422,3.1308032970707242
33,0.7128492504990755,0.8980746867409359,0.7948132776924354,0.7136392434746974,0.8742601424299623,0.7858260443728894,0.8412733681816128,0.7685598684346336,0.8032744441607663,0.8313023097195513,0.7366302934507799,0.7811081459966307,89.0342025756836,3.102285869945838
34,0.7154076106262399,0.900759314243249,0.7974548406305637,0.7156142859658374,0.87798404942373,0.7885273405034836,0.8437218522580378,0.7702343311876197,0.8053050550541548,0.8348677404521492,0.7391684541325512,0.7841089032618733,89.36011505126953,3.059255924222144
35,0.717612813301824,0.9016218596681965,0.7991619868961342,0.7160731797990496,0.878796000425431,0.7891333712157542,0.8448409151761302,0.7707755613203328,0.8061105343928956,0.834927277197667,0.739642341777118,0.7844017299434058,89.46399688720703,3.0305469979784245
36,0.721381014482806,0.9039848340971334,0.8024254936423176,0.719996640786978,0.8796273926068947,0.791847027301107,0.8468320286711308,0.7723119056466152,0.8078570953003904,0.8367338641259613,0.7408173624150179,0.7858597094488946,89.72982025146484,2.9796991341824786
37,0.7242773564821309,0.9059472365958384,0.8049897816779448,0.725166586781076,0.8855433828589468,0.7973707054633898,0.8486439558365575,0.7735157712209623,0.8093401322219441,0.8406504035607366,0.7438171337944851,0.7892748307654858,90.1807632446289,2.9397057133245204
