epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.512520172705799,0.706941218970945,0.5942322374661639,0.4752542265918346,0.6053646939333724,0.532476572372946,0.6562667858658784,0.6010975211160998,0.6274718249664198,0.610757542166591,0.49147232235083155,0.5446603059940148,56.11164093017578,7.487024473032959
1,0.5552037495500393,0.780064200266297,0.6487006131423618,0.5285194529823275,0.7089039217964491,0.605563981740475,0.7043607363121231,0.6675933157407631,0.6854843552939764,0.6622820412830244,0.5918230816099032,0.6250732756164343,67.37500762939453,6.00719436403068
2,0.575416778905151,0.7937403020096129,0.6671717865482913,0.553600216522418,0.7303482813441456,0.6298086992752798,0.7221070988172287,0.6809872941273615,0.7009446574178184,0.6756506767167323,0.6126903939801934,0.6426321239400148,70.43553924560547,5.651111992929815
3,0.5872266808357404,0.8023072185733503,0.6781212105350398,0.5675245216856117,0.7409131230315766,0.6427304617179127,0.7339441484690592,0.6901150168757935,0.7113551048055764,0.696835926852465,0.6252917764252247,0.6591281212825161,72.3036880493164,5.417484416125241
4,0.5986357893024119,0.8101288469147271,0.6885069503330429,0.5822318405648204,0.751847687611737,0.656257222657347,0.7438659990602607,0.6971873871084275,0.7197706861124085,0.7057872264076195,0.635149844279843,0.6686080305285025,73.84844970703125,5.224129860987047
5,0.6062954255321871,0.8153868385107913,0.6954652565227472,0.5913774236569793,0.7598505124151066,0.6651112316442054,0.7504366210129607,0.7022167479210462,0.725526370981789,0.7268968587616056,0.6433013080878411,0.6825490084569112,75.11427307128906,5.076574213746023
6,0.6150036371515686,0.8202827445974725,0.7029633637370137,0.6008300165858207,0.7668465694189887,0.6737622647598216,0.7588960384525932,0.7072709194188219,0.7321745944116966,0.7255234210162886,0.6505667404796636,0.6860036069716642,76.05098724365234,4.946255071767771
7,0.6198912793417825,0.8250806801213815,0.7079172921122274,0.6080588253928425,0.7729410452082053,0.6806570138817806,0.7636608235115847,0.7109002456529069,0.7363366338397833,0.7416407220607903,0.6557778704686463,0.6960714219288009,76.91175079345703,4.827837761159625
8,0.6287672303723585,0.8302093224887495,0.7155816387958875,0.618485519975024,0.7808925410525505,0.6902648294240874,0.7711655055684566,0.7163790374743679,0.7427633749810488,0.7427610826136836,0.6627244802123244,0.7004639043140912,77.9937515258789,4.674812422137258
9,0.6331118939599841,0.833493316818909,0.7196136063555338,0.6238181716858353,0.7874957527675976,0.6961656824750652,0.774739042761402,0.7190862018544323,0.745875941908995,0.7511365783375669,0.6680793725400614,0.7071775844082514,78.72054290771484,4.598544692902329
10,0.6390981985507512,0.8372073820238636,0.7248604038421151,0.6297677674700701,0.7911143652956745,0.7012803048990099,0.7796469775423635,0.7221522645638082,0.7497990604961866,0.7598619117587417,0.6725572833004476,0.7135490292488388,79.27999877929688,4.509126569062525
11,0.6426383392713935,0.8408737476604646,0.7285113663630768,0.6335527208193207,0.7956674808591173,0.7054158579255319,0.783060137699512,0.7254761642629087,0.7531691008647385,0.7616408956352474,0.6765824701320818,0.7165964491858665,79.95083618164062,4.422856184052344
12,0.6501791090581033,0.8455276720774529,0.7350965248655472,0.6440774223394007,0.8033084645945395,0.7149342133154113,0.7891408505192988,0.72987125585748,0.7583497474431522,0.7708245004041735,0.6830447632465542,0.7242847091507101,80.87309265136719,4.3030664943866
13,0.6525392098471312,0.8481350613962354,0.7375902864631644,0.6460863479713395,0.8083165035160633,0.7181535119070537,0.7916212080027107,0.7314460886349015,0.7603449139145798,0.7722388134628809,0.6867473350350769,0.7269883236414093,81.28783416748047,4.240839236650675
14,0.6563700303290476,0.8495644335571948,0.7405749006917464,0.6514097307497322,0.8104027692476571,0.7222598653594717,0.7959739212259712,0.7333927391830893,0.7634029294846543,0.7791568676923194,0.689383604918407,0.7315262742357491,81.76622009277344,4.176377845607101
15,0.6596417113153036,0.8531124957423164,0.7440053169384395,0.6563469374784189,0.8151336266040865,0.7271729882356386,0.7970846459261468,0.7356107496619657,0.765114889261853,0.7830447553998543,0.6936242541781992,0.7356270510580729,82.38545989990234,4.116368113264697
16,0.6668718074958458,0.8574731467655701,0.7502562535653489,0.662981504609151,0.8205640873232873,0.7334035653507611,0.8039733513883538,0.7394599764668643,0.7703683790782906,0.7885394032215204,0.6971968237826048,0.7400602574819606,83.02562713623047,4.000577176928705
17,0.6688790264546868,0.8602338839250387,0.7525832773986932,0.6641477982956089,0.8247118872706416,0.735771932666304,0.805983826686715,0.7413652518260355,0.7723252767418562,0.7889414965092878,0.6992034226636259,0.7413667681602465,83.46765899658203,3.9429541924184526
18,0.6723887360501096,0.862747931396329,0.7557659241979695,0.6677567287800685,0.8277018490084174,0.7391759120689575,0.8086016755635749,0.743166296812372,0.7745043376617324,0.7940449927473792,0.7026765372116905,0.7455719380334812,83.86830139160156,3.88705116575246
19,0.675866409195798,0.8646296022322612,0.7586830478105392,0.6719242946935822,0.8300966856670507,0.7426822092863116,0.8111613526280722,0.7455951721504093,0.7769975313776776,0.797803161302681,0.7056941801290305,0.7489272276114839,84.28015899658203,3.8310169510058616
20,0.6813696930463398,0.8691094252636287,0.7638733283438792,0.6776757246109076,0.8356294659030217,0.7484092532845158,0.8154905529391898,0.7476767989540865,0.7801127185267617,0.8024213275697422,0.7093494558061908,0.7530204159228486,84.82186126708984,3.7463977654647054
