epoch,mAP,loss
0,61.512596130371094,5.298456600734165
1,66.90735626220703,4.262780427932739
2,79.12606811523438,3.662962198257446
3,79.38384246826172,3.3147321087973456
4,80.10791778564453,9.94016947065081
5,82.9649658203125,3.2319785186222623
6,88.90575408935547,3.2239296095711842
7,85.34857940673828,2.8496528012411937
8,83.48090362548828,8.431407655988421
9,91.18061065673828,2.6844433035169333
10,95.2822494506836,2.4055358171463013
11,91.66577911376953,2.4134476014545987
12,89.64061737060547,10.619702134813581
13,86.72920989990234,3.4567012105669295
14,91.61143493652344,2.5514838184629167
15,91.95498657226562,2.3147192682538713
16,86.21929168701172,12.475959505353655
17,86.01377868652344,3.8206928457532614
18,89.02175903320312,3.087709512029375
19,91.31098175048828,2.396531105041504
