epoch,objective_loss,entropy_loss,overall_loss
0,5.600659228647644,nan,5.600659228647644
1,4.766121467258456,nan,4.766121467258456
2,4.434103076590179,nan,4.434103076590179
3,4.191539047097152,nan,4.191539047097152
4,4.045431114519533,nan,4.045431114519533
5,3.690275522992445,nan,3.690275522992445
6,3.526961951821079,nan,3.526961951821079
7,3.317494274781266,nan,3.317494274781266
8,3.988301385201185,nan,3.988301385201185
9,3.6031386357648434,nan,3.6031386357648434
10,3.3696758929447723,nan,3.3696758929447723
11,3.272218409391479,nan,3.272218409391479
12,3.9304549778396707,nan,3.9304549778396707
13,3.5668517711285634,nan,3.5668517711285634
14,3.3573443258241764,nan,3.3573443258241764
15,3.1927570546790256,nan,3.1927570546790256
