epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.6105412655830835,0.8492098331870062,0.7103644542366658,0.1411351454023587,0.2326281166012076,0.17568341460416204,0.8753333333333333,0.2881913959613696,0.43361955085865256,0.5380875033170412,0.05558492050315961,0.10076112649180333,17.767166137695312,9.683619976043707
1,0.6516386624521711,0.8597453906935909,0.741364625721586,0.36753847828316005,0.23918512562724928,0.28978512302609105,0.8913333333333333,0.293459174714662,0.44154557463672395,0.8385316283140736,0.05653454403870431,0.10592737103259448,21.403043746948242,8.728485126495354
2,0.6477440525020509,0.8665496049165935,0.7413388414233406,0.3983985674999119,0.2531707355188738,0.3095997859208858,0.922,0.30355575065847235,0.4567371202113606,0.8823329675598149,0.058964561585479136,0.11054183187290346,22.27095603942871,8.377527751922603
3,0.6595921074448682,0.8731343283582089,0.7514876735619156,0.39953513733205376,0.28386778817639735,0.3319129945158561,0.928,0.305531167690957,0.4597093791281374,0.8908733093948399,0.060971052098404394,0.11413101796385698,27.623456954956055,8.058415893554686
4,0.657170763470617,0.8860842844600527,0.7546499672866622,0.3674790131061167,0.41622556673378125,0.3903362680976316,0.9532398129592519,0.3132133450395083,0.4715017346770196,0.8552839639630863,0.09092624311478552,0.1643773382653541,37.40154266357422,7.824139636993409
5,0.6819000819000819,0.9137401229148375,0.7809773942406903,0.4359372585049244,0.49955702426798976,0.46558386007609454,0.9746666666666667,0.3208955223880597,0.4828269484808454,0.9396987608103197,0.131474328289569,0.23067469604915783,48.98343276977539,6.728247497558596
6,0.6937830687830688,0.9209833187006146,0.7913994718973972,0.5246872173941916,0.554912023975785,0.5393765289960133,0.9846666666666667,0.32418788410886745,0.48778071334214,0.9576103904573232,0.14882303242433906,0.2576105877527467,55.72032165527344,6.188658109664919
7,0.6877141458639257,0.925153643546971,0.7889564810481985,0.5457297219222985,0.5718589107629612,0.558488866515429,0.9833333333333333,0.32374890254609306,0.4871202113606341,0.9836951144093999,0.1344355948672249,0.23654414779317817,57.236873626708984,6.109022460937498
8,0.6543369407204006,0.8891571553994733,0.7538848050618778,0.38557135030297407,0.4327113328640696,0.40778351133636337,0.9566377585056705,0.3147497805092186,0.4736581337737407,0.7631561849280784,0.09458686852983278,0.16831276788664298,39.453697204589844,7.696103675842283
9,0.6786527822974292,0.9154960491659351,0.7794804709400112,0.4400292170921402,0.5116895941322532,0.4731615448696289,0.9766666666666667,0.32155399473222124,0.4838177014531044,0.9838151026919316,0.12063044136407547,0.2149097358345677,49.6110954284668,6.620421457290646
10,0.6857514638906962,0.9253731343283582,0.7877428998505231,0.48167895862502036,0.5610578186549477,0.5183470108786246,0.9793333333333333,0.32243195785776996,0.48513870541611614,0.9703558483720749,0.1521529942270584,0.26305814652415044,53.12920379638672,6.211979112625121
11,0.6939917695473251,0.9253731343283582,0.7931521023422069,0.5058972840349992,0.5622393072802707,0.532582332341154,0.9846666666666667,0.32418788410886745,0.48778071334214,0.9675546339907211,0.1506414304994215,0.26069455756341786,56.34319305419922,6.148558206558226
12,0.6549227799227799,0.8935469710272168,0.7558484961010026,0.36938824137460535,0.46986150330295506,0.41361064568780803,0.9626666666666667,0.3169446883230904,0.4768824306472919,0.877579221394166,0.10940674729835752,0.194558162233149,43.264984130859375,7.603779811859131
13,0.6814029363784666,0.9168129938542581,0.7817705408946284,0.4807899202299783,0.4941506416038525,0.48737873232276596,0.9786666666666667,0.3222124670763828,0.48480845442536324,0.9533960835071184,0.12389217698919695,0.21928822702338382,50.054054260253906,6.5434040603637715
14,0.6920420914172969,0.9238366988586479,0.7913141567963902,0.5266559388051547,0.5664057789470603,0.5458080955748018,0.9826666666666667,0.3235294117647059,0.48678996036988115,0.9479617726991255,0.15697008932911893,0.2693408512413193,56.032257080078125,6.278692289352418
15,0.689909762100082,0.9229587357330992,0.7895972209182237,0.5054344467834254,0.5740542754072878,0.5375633837569308,0.986,0.3246268656716418,0.4884412153236459,0.9830276365669579,0.15684629198937308,0.2705285836546525,59.08868408203125,5.98477953529358
16,0.6492322456813819,0.8909130816505707,0.7511102886750556,0.34949376834311197,0.4608240547059601,0.39751102799718385,0.9573048699132756,0.3149692712906058,0.47398843930635837,0.8066713447337804,0.11599906600879319,0.2028310900094157,41.93905258178711,7.662286998748785
