epoch,objective_loss,entropy_loss,overall_loss
0,5.670545685781188,nan,5.670545685781188
1,4.846393559077015,nan,4.846393559077015
2,4.400385126675642,nan,4.400385126675642
3,4.275104757857648,nan,4.275104757857648
4,4.268439755047839,nan,4.268439755047839
5,3.73802407065483,nan,3.73802407065483
6,3.440467506238859,nan,3.440467506238859
7,3.2945991378940955,nan,3.2945991378940955
8,4.047795371650015,nan,4.047795371650015
9,3.587137344765337,nan,3.587137344765337
10,3.32083286569543,nan,3.32083286569543
11,3.1787423115887057,nan,3.1787423115887057
12,4.108062422438847,nan,4.108062422438847
13,3.526753324351897,nan,3.526753324351897
14,3.2774887583027144,nan,3.2774887583027144
15,3.0865188012384372,nan,3.0865188012384372
