epoch,mAP,train_loss
0,tensor(6.1783),0.2030886007538103
1,tensor(27.4009),0.1630226004332419
2,tensor(35.9416),0.14980962281097243
3,tensor(41.0851),0.1425680831248659
4,tensor(45.4230),0.1370722732365363
5,tensor(16.7642),0.17165377791173728
6,tensor(45.8775),0.1266331183307365
7,tensor(47.9051),0.12220838161526024
8,tensor(49.7684),0.11929585167174214
9,tensor(51.6438),0.11686463181494743
10,tensor(51.2061),0.11663289916074694
11,tensor(53.0752),0.11466138244602936
12,tensor(54.4581),0.11290044696994331
13,tensor(55.8129),0.11161723060366709
14,tensor(56.6226),0.11026761118424079
15,tensor(55.4845),0.11161762899229963
16,tensor(56.5273),0.11004743962784219
17,tensor(57.6428),0.10868164859277266
18,tensor(58.3084),0.1080165037501183
19,tensor(59.5898),0.10666201866670347
20,tensor(58.6401),0.10752189649334211
21,tensor(59.4209),0.10669064388432858
22,tensor(59.7680),0.10611726291448689
23,tensor(60.7981),0.10508912204536482
24,tensor(61.3422),0.10425902271085213
25,tensor(60.0527),0.105782982382329
26,tensor(60.9656),0.10457729478638458
27,tensor(62.0168),0.10326539426462185
28,tensor(62.6442),0.1025116793550406
29,tensor(63.2303),0.10203502973693815
30,tensor(61.6090),0.10352201162609143
31,tensor(62.9717),0.1023391527540489
32,tensor(63.0441),0.10184598948936988
33,tensor(64.0872),0.10067065083331178
34,tensor(64.6390),0.09976417597397759
35,tensor(62.6158),0.10185996663361668
36,tensor(63.3192),0.10086758359396966
37,tensor(64.4058),0.10003379680187316
38,tensor(64.9432),0.09950692490728914
39,tensor(66.1278),0.09797497392280559
40,tensor(63.6001),0.10055410511182901
41,tensor(64.4475),0.09969104232143336
42,tensor(65.3294),0.09870488973559104
43,tensor(65.8043),0.09824143666121754
44,tensor(66.4396),0.09704992195395638
45,tensor(64.3438),0.0990271265926528
46,tensor(65.2735),0.09790670112181274
47,tensor(66.1522),0.09724248012216169
48,tensor(66.3719),0.09669298867075361
49,tensor(67.5714),0.09547298584234858
50,tensor(65.1682),0.09802443566025465
51,tensor(66.0780),0.09687588523334102
52,tensor(66.9239),0.09562484392396213
53,tensor(67.6190),0.09499084906007528
54,tensor(67.9784),0.09438452808773473
55,tensor(65.6849),0.09692698951941058
56,tensor(66.8909),0.09533266378168005
57,tensor(67.6527),0.09447818852468219
58,tensor(68.0567),0.09393374184110281
59,tensor(68.8062),0.09343235800586328
60,tensor(66.9479),0.09496533777927155
61,tensor(67.1362),0.09485110025925396
62,tensor(68.5711),0.0933113596782611
63,tensor(68.5858),0.09308532039826947
64,tensor(69.0657),0.09243506413489469
65,tensor(67.1867),0.09433048102526356
66,tensor(67.9067),0.09332097260868508
67,tensor(68.6452),0.09265680274842775
68,tensor(69.2946),0.09198052537580409
69,tensor(69.8783),0.09114018798686184
70,tensor(67.9203),0.09307071795607358
71,tensor(68.5606),0.09229860498283622
72,tensor(69.1238),0.09134015095952885
73,tensor(69.2487),0.09122811182463676
74,tensor(70.7151),0.0898053138462486
75,tensor(68.0658),0.09261611860665833
76,tensor(68.8373),0.09154586972313633
77,tensor(69.2818),0.09094781967800414
78,tensor(70.2693),0.09001370760021508
79,tensor(70.8240),0.0891061724971705
80,tensor(68.3327),0.0916933299328566
81,tensor(69.6798),0.09009964566982212
82,tensor(69.8785),0.08997240671271947
83,tensor(70.9484),0.08882226284723796
84,tensor(71.6360),0.08778556473988043
85,tensor(68.5864),0.09075527145356983
86,tensor(69.5248),0.09023781103382779
87,tensor(70.5989),0.08867560712627863
88,tensor(71.4038),0.08777802057767192
89,tensor(71.7373),0.08735250736720827
90,tensor(69.1232),0.09014086581853578
91,tensor(70.2187),0.08891039367779677
92,tensor(71.4659),0.08730019399975987
93,tensor(71.7464),0.08696510390548862
94,tensor(72.1419),0.08628382151112952
95,tensor(69.4946),0.08914534579455158
96,tensor(70.5901),0.08809340319049042
97,tensor(71.0569),0.0872110277124416
98,tensor(71.7400),0.08597555191252482
99,tensor(72.7865),0.08517602436853285
100,tensor(69.3476),0.0888588340365933
101,tensor(71.6978),0.08631049432875121
102,tensor(72.2688),0.0858770955049574
103,tensor(72.4966),0.08514794257944196
104,tensor(72.4821),0.08501222634013988
105,tensor(70.8845),0.08696530367961657
106,tensor(71.2748),0.08643452556448683
107,tensor(72.0198),0.08554583231298837
108,tensor(72.1886),0.08559683655254569
109,tensor(72.8245),0.08484585035287921
110,tensor(71.1029),0.08660215693109231
111,tensor(71.8526),0.08595204283755113
112,tensor(72.3655),0.08551786535560851
113,tensor(72.4413),0.08510288625143844
114,tensor(72.8234),0.08455493344639059
115,tensor(71.2409),0.08624870048886607
116,tensor(71.6591),0.08592837228501353
117,tensor(72.1463),0.08529059011996483
118,tensor(72.5486),0.0848403098460301
119,tensor(73.0362),0.08441191929091743
120,tensor(71.0931),0.08607841906380563
121,tensor(71.9007),0.0854549879056006
122,tensor(72.1669),0.08531976465121315
123,tensor(72.5271),0.08457663704565072
124,tensor(72.9224),0.08414004514073578
125,tensor(71.5794),0.08571745643703857
126,tensor(71.7196),0.08525428245503616
127,tensor(72.5177),0.08467209745010049
128,tensor(72.3928),0.08446013222988473
129,tensor(73.0601),0.08384118359608407
130,tensor(71.8927),0.085343376439833
131,tensor(72.2728),0.08493723012941819
132,tensor(72.2621),0.08453573998252245
133,tensor(72.8753),0.08429013062196021
134,tensor(72.7342),0.08399876923180734
135,tensor(71.7608),0.08501468653924733
136,tensor(72.5674),0.08479927288882926
137,tensor(72.3980),0.08433986339239757
138,tensor(72.7518),0.08426659507858149
139,tensor(72.7260),0.0838325196724922
140,tensor(71.8607),0.08482029749957501
141,tensor(72.4925),0.08435138285971801
142,tensor(72.4993),0.08439406494570155
143,tensor(72.8902),0.08394895351930351
144,tensor(73.4340),0.08295700084490537
145,tensor(71.8369),0.08471247410321975
146,tensor(72.1559),0.08466347924466264
147,tensor(72.9871),0.0838136552372795
148,tensor(72.9756),0.08364585036201698
149,tensor(73.8182),0.08283938154404266
150,tensor(72.1377),0.08454596320826717
151,tensor(72.6368),0.0840311958400192
152,tensor(72.5535),0.08399089675121264
153,tensor(73.1990),0.08317030685073215
154,tensor(73.7484),0.0828528700229723
155,tensor(72.4460),0.08450039481954354
156,tensor(72.4540),0.08409608117801208
157,tensor(73.3648),0.08320922648048588
158,tensor(73.2684),0.08316026842547758
159,tensor(73.4634),0.08298092741330769
160,tensor(72.4374),0.0841636420571851
161,tensor(72.7237),0.08378430671902946
162,tensor(72.7380),0.08341349852688114
163,tensor(73.3831),0.08287112698944622
164,tensor(73.3502),0.08284098718764715
165,tensor(72.8255),0.08377847901694042
166,tensor(72.5867),0.0836444362592141
167,tensor(72.9675),0.08337742783100226
168,tensor(73.4455),0.08301515410498428
169,tensor(73.6172),0.08247424775176473
170,tensor(72.7526),0.08386816588821115
171,tensor(73.1361),0.08316040213006018
172,tensor(72.8263),0.08337694191979064
173,tensor(72.9282),0.08310143461139287
174,tensor(73.5561),0.0824559693902383
175,tensor(72.3898),0.08393686824271646
176,tensor(73.0273),0.08312532249185824
177,tensor(73.1294),0.082913657599618
178,tensor(72.9358),0.08307746729672189
179,tensor(73.8674),0.08212029396154072
180,tensor(72.9037),0.08343113947239365
181,tensor(72.7531),0.08337575958222725
182,tensor(73.2211),0.08291146260639107
183,tensor(73.5247),0.08259205099789553
184,tensor(73.4506),0.08239697953432455
185,tensor(72.6699),0.08344087375741052
186,tensor(73.2813),0.08288041099268169
187,tensor(73.2077),0.08270503905264778
188,tensor(73.3548),0.0825336920351138
189,tensor(73.7513),0.08211189920104428
190,tensor(72.5883),0.0834330100319729
191,tensor(73.0861),0.08275076773032135
192,tensor(73.4041),0.08248725871225739
193,tensor(73.7518),0.08213987595724229
194,tensor(73.9682),0.08191994102200648
195,tensor(72.5555),0.0833723165587692
196,tensor(73.0129),0.0827409108151258
197,tensor(73.4826),0.08227424088735055
198,tensor(73.4970),0.08220991903937742
199,tensor(73.6483),0.08213971587122643
200,tensor(72.9576),0.08244944627646802
201,tensor(73.3357),0.08244142788625414
202,tensor(73.5924),0.08215455728282262
203,tensor(73.6941),0.0820811336374468
204,tensor(74.1110),0.08160871191943195
205,tensor(72.7396),0.0832140632118696
206,tensor(72.9724),0.08264107886223479
207,tensor(73.2778),0.08216856791119621
208,tensor(73.8096),0.08169001535103008
209,tensor(73.7512),0.0817374251637941
210,tensor(73.0419),0.08272845834377673
211,tensor(73.0856),0.08281687635508024
212,tensor(73.3822),0.08222780524524734
213,tensor(73.6022),0.08189373176385456
214,tensor(74.0475),0.08130131516939001
215,tensor(73.1552),0.08220696875441394
216,tensor(73.2341),0.08260444458936445
217,tensor(73.2654),0.08224989986953102
218,tensor(73.7054),0.08185446243515737
219,tensor(73.7431),0.0816557771645864
220,tensor(73.0827),0.08249010638504178
221,tensor(73.8010),0.08189453326658515
222,tensor(73.5518),0.08212057511224355
223,tensor(73.8521),0.08179700879039467
224,tensor(74.3025),0.08111866164938022
225,tensor(72.9936),0.08262780495712733
226,tensor(73.0504),0.08220090415575156
227,tensor(73.9902),0.08156596369142655
228,tensor(73.7947),0.08160144308081858
229,tensor(74.2921),0.08139293606063273
230,tensor(73.0202),0.08227213240203231
231,tensor(73.2569),0.08236210819348287
232,tensor(73.8483),0.08143026059935533
233,tensor(73.7170),0.08160465178786552
234,tensor(74.2775),0.08106090427024824
235,tensor(73.4107),0.08229413022674936
236,tensor(73.0933),0.08223360326097633
237,tensor(73.9411),0.08141610536593871
238,tensor(74.2995),0.08113560722669745
239,tensor(73.6740),0.08145763365559078
240,tensor(73.5253),0.08199364990575769
241,tensor(73.5714),0.08181808733812565
242,tensor(73.6461),0.0816657257480148
243,tensor(73.8611),0.0813653097716287
244,tensor(74.2294),0.08102572209234365
245,tensor(73.5370),0.08172903486784797
246,tensor(73.7558),0.08164116215497143
247,tensor(73.9056),0.08113913043811623
248,tensor(73.9441),0.0812621491196555
249,tensor(74.2221),0.08105236309279723
250,tensor(73.2607),0.0822668252694004
251,tensor(73.4404),0.08190662161617426
252,tensor(73.6434),0.08162516694704383
253,tensor(74.0717),0.0812009933045866
254,tensor(74.1637),0.08091443540811072
255,tensor(73.7629),0.08192803328023344
256,tensor(73.8336),0.08128565761481739
257,tensor(73.9133),0.08116157892149245
258,tensor(73.7831),0.08101904445875016
259,tensor(73.6198),0.0817551941897155
260,tensor(73.1353),0.08202942810111942
261,tensor(73.8384),0.08138485413754963
262,tensor(73.9878),0.0809899598707948
263,tensor(73.9438),0.08132596450209151
264,tensor(74.3595),0.08073932874643383
265,tensor(73.8364),0.08152724735815708
266,tensor(73.4820),0.08162621998659367
267,tensor(73.7502),0.08130568318097973
268,tensor(73.3925),0.08168880183409166
269,tensor(74.0327),0.08105587524430757
270,tensor(73.6243),0.08169906961836708
271,tensor(73.8195),0.0815598947296811
272,tensor(74.0583),0.08107547705507456
273,tensor(73.9919),0.08113455865169787
274,tensor(74.1218),0.08100658713147793
275,tensor(73.7116),0.08144979755818146
276,tensor(73.8869),0.08096983417114856
277,tensor(73.6730),0.08135977680233206
278,tensor(73.7290),0.08134545145215691
279,tensor(74.3332),0.08062751333189382
280,tensor(73.4048),0.08192153373580958
281,tensor(73.5196),0.08189659632365531
282,tensor(73.8437),0.08139126908744361
283,tensor(74.2432),0.08090868267567708
284,tensor(74.2063),0.0807956934902918
285,tensor(73.6110),0.08182935464532923
286,tensor(73.8575),0.08137369266048011
287,tensor(73.7846),0.08113308575598645
288,tensor(73.3888),0.08127862161409524
289,tensor(74.2562),0.08065182353272046
290,tensor(73.4445),0.08165128410210407
291,tensor(74.1472),0.08122368407678508
292,tensor(74.0167),0.0810553657057685
293,tensor(73.9455),0.08092745102159242
