epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.4938652393804005,0.7483124776019754,0.5950284179626506,0.4541282699534467,0.6729197123444117,0.5422872310396033,0.6473987859328751,0.6335069538195689,0.6403775391967368,0.5781849217494589,0.5549224789648715,0.5663149139702943,60.895050048828125,6.920565914441766
1,0.5403262646052645,0.7838989499315173,0.6397117148877867,0.5118198906807881,0.7220484909672948,0.5990246370029966,0.6918685121107266,0.6674783138030741,0.6794546013327636,0.6361072861093371,0.6033432348498003,0.6192922125132382,68.27667999267578,5.94984269409028
2,0.5624229915683318,0.7999813452069455,0.6604909999554153,0.5407458614129622,0.7439072319135609,0.6262620765436265,0.7121925746933426,0.6829323371019288,0.6972556154503513,0.6687940884310895,0.6245677333677815,0.6459247533999566,71.4177017211914,5.5667542936238785
3,0.5744588019295342,0.8079439963475878,0.6714837972643539,0.5552369015821711,0.7551146841711387,0.6399313621425498,0.7240635005473299,0.6916460891208193,0.7074836422434356,0.6823051946100174,0.6362201161445757,0.6584572728640287,73.29729461669922,5.33805919316463
4,0.5894430334009926,0.8168737512334254,0.6847682500751032,0.5767691282109901,0.768954240850497,0.6591385381659678,0.7378691983122363,0.700526752445987,0.7187132485337189,0.705425821726529,0.6490203115317185,0.676048571201726,75.26709747314453,5.1024364556886335
5,0.59657493791052,0.8230936519702898,0.6917629196261144,0.5832743162708842,0.7760722935813272,0.6660009053388366,0.7443991272847881,0.7051511774610827,0.7242438146331134,0.7111506150154606,0.6551877505501962,0.6820231115467108,76.21711730957031,4.953573377751745
6,0.6034986049277034,0.8271682515058836,0.697849235242225,0.5915798577988307,0.7827889726304816,0.6738834275957494,0.7512831168831169,0.7099719687188576,0.7300435889863984,0.7216698401022189,0.6613793564234018,0.6902104937351633,77.17314147949219,4.843989189448771
7,0.6101770628816399,0.8314932180008935,0.703847608282809,0.6011632900189126,0.7902949690381539,0.6828754230749605,0.7574700676730869,0.7143312993063362,0.735268480878017,0.7287888277865613,0.6684318182041863,0.6973066747075461,78.24386596679688,4.721767846754067
8,0.620210249384986,0.8378947575122361,0.7128031438845016,0.6111544648469311,0.797705107964818,0.6920789662392335,0.7656155340617101,0.7196675519511441,0.7419308309947189,0.7357677541889164,0.6750311955675913,0.7040920846389153,79.25513458251953,4.558493323356817
9,0.6250524633121777,0.8407666138114197,0.7170369812142298,0.6172870272576969,0.8021588867745859,0.6976838915951341,0.7706604331068961,0.7234525112787861,0.746310682561708,0.7443683619749988,0.6806452095113327,0.7110820132914647,79.96752166748047,4.474356368790488
10,0.6306788244247995,0.8461519580168974,0.7226963691595545,0.6240472299556724,0.8100400732856331,0.7049825526583455,0.7756054873767279,0.7266287352541224,0.7503187264123445,0.7521058493911419,0.6867273661493807,0.7179312562976837,80.88224792480469,4.366546652555625
11,0.6341106749788348,0.8493772735529035,0.7261254758117653,0.6297891256987773,0.8154690493545769,0.7107014490452165,0.778706052537789,0.7293729534955645,0.7532325974595497,0.7576950029640798,0.6906291099321001,0.7226092845346324,81.36512756347656,4.310286957850482
12,0.6436414166238585,0.8549835297813952,0.7344103160948623,0.6407492662445258,0.8233217130586435,0.7206519232784713,0.7872535148298733,0.7347779343253101,0.7601111156252538,0.7691113373489967,0.6982415088122306,0.7319649967491861,82.55475616455078,4.1525196270634215
13,0.6464888171103028,0.8567950083701111,0.7369312196120904,0.6430252758793074,0.8257064856901042,0.7230049143743803,0.7891257782526091,0.7360837698391269,0.7616824566305149,0.7674458651077389,0.6996892288263432,0.7320029460727027,82.75869750976562,4.10871954464131
14,0.6489994471263557,0.8586408510512957,0.73924455095287,0.6460741123337896,0.8281149131933127,0.7258548234822775,0.7904002692299602,0.7379050667399767,0.7632510987044048,0.7710351292834842,0.7029426925339778,0.7354160989322358,83.23050689697266,4.042823514529985
15,0.6543106465039052,0.8628185428642962,0.7442363676783503,0.6525737978815821,0.8346573232317773,0.7324692061893991,0.7958744621614781,0.7409683801257726,0.7674406188906034,0.7774536101760584,0.7076630613480553,0.7409184912976098,83.93045806884766,3.971598142883688
16,0.6616243141514204,0.8672367833245787,0.7506044112460857,0.6593684847520673,0.8393377656612497,0.7385474913267585,0.8023352926251691,0.745155890250907,0.7726892093106125,0.7858042362289971,0.7121293061042344,0.74715494334666,84.70429992675781,3.8337431054245488
17,0.6639996100648268,0.8693919028379832,0.7529399760210198,0.6645299931806852,0.8441070032906138,0.7436307374835769,0.8042920272022439,0.7460689932793654,0.7740872417586896,0.7899924482232341,0.7147556848903627,0.7504931635564093,85.203125,3.7830994703621457
18,0.6681998038486252,0.872955950142611,0.7569760462473022,0.6664053194942556,0.8483405642911075,0.7464468738130073,0.8073821914689735,0.748665936838798,0.7769162582656627,0.7919033685795753,0.7191053525359596,0.753750713783322,85.63955688476562,3.710221467294724
