epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
epoch,OP,OR,OF1,CP,CR,CF1,OP_3,OR_3,OF1_3,CP_3,CR_3,CF1_3,map,loss
0,0.4831837916063676,0.34481761473953815,0.40243961236198833,0.3367247706757349,0.2337062818888362,0.2759130794885646,0.598669978367118,0.30867104556533237,0.40732664631487137,0.4440468681640697,0.2013533319203006,0.27706937934609155,tensor(22.9952),0.4712138860894922
1,0.6926794690037376,0.44404511091832943,0.5411705475141599,0.6070349652243849,0.3588329253247503,0.45104332482164244,0.7505175189756957,0.40438716073862935,0.5255838926174496,0.6635369173241458,0.3228182907425144,0.43433005015503817,tensor(47.0905),0.3968410624398125
2,0.7279725173357083,0.47271450406907095,0.5732104393127285,0.6536115563469427,0.39829113197346155,0.4949653414500358,0.7817038478814193,0.4313628289337795,0.5559430320777319,0.6935565508498451,0.3602103863455298,0.4741584961832532,tensor(52.2214),0.38968305780641305
3,0.7461948011274663,0.49213037551121575,0.5930996714129244,0.6781700464063538,0.42431312445211766,0.5220151362064784,0.7976645123384254,0.44867187177262774,0.5743066388176506,0.7238208556659036,0.3841969671912723,0.501959033149014,tensor(56.0145),0.38483746283003234
4,0.7650718596403907,0.5079935555830958,0.6105759682224429,0.7071654518722434,0.44347870671687933,0.5451082642538255,0.8167345158476301,0.4641219481968026,0.5918921054711166,0.7538602426379918,0.4035531490044485,0.5256940640614304,tensor(58.7241),0.3813834999039857
5,0.7452850639497074,0.2840500681621019,0.4113301229324321,0.5980983480057358,0.1502512781373146,0.24016860061208897,0.7814465408805031,0.2669062667823357,0.39790608160123175,0.6032162400534518,0.13464127799233677,0.22014495612007545,tensor(33.2155),0.4024621024582586
6,0.7727873183619551,0.41083157764283057,0.5364656381486675,0.6675708119284065,0.30767419634805254,0.42121582027572896,0.8139267386303309,0.38001404552402196,0.518122166211383,0.7118424090816872,0.27809145977217625,0.3999404422811843,tensor(49.0307),0.3819245220276348
7,0.7745467472449342,0.45003511381005495,0.5692934782608695,0.7058194859830128,0.3588415167685649,0.4757896349361291,0.8188127704744019,0.4142603379187838,0.5501728205409557,0.7547158553879469,0.3250081419893663,0.454354628563164,tensor(53.4912),0.37800058124125824
8,0.7853088024074961,0.47432560829512127,0.5914288657669723,0.7160907312024607,0.3934754448791741,0.5078815939194795,0.8302806383145979,0.436320072706242,0.5720320623916811,0.7623324161468362,0.35734154849837896,0.4865935167881466,tensor(56.6160),0.37534031289362724
9,0.7933355548150617,0.49175858222828106,0.6071610731408752,0.7326724486076923,0.41371360237889,0.528821085735277,0.8376330092628034,0.45201801131903996,0.5871746713174134,0.782793653217839,0.3774867958250578,0.5093497321085494,tensor(58.3177),0.3732829640599488
10,0.7883511074651354,0.4763911265336473,0.5938972576284279,0.7233230692342479,0.39928296151829346,0.5145359445909039,0.8326948635759518,0.43999669517081835,0.5757608519379426,0.7671175406950906,0.36639368821447926,0.4959227890484679,tensor(56.5466),0.37485199231385713
11,0.7951248992747784,0.48915602924773827,0.6056932402363232,0.7343344854345442,0.4170829776170694,0.5320023772094011,0.8378212974296205,0.45243111496674515,0.587569409050672,0.7796842605640105,0.38147869386976463,0.5123017957385851,tensor(58.4985),0.37287388512497976
12,0.7964515500097485,0.5062585202627339,0.6190331868464919,0.741891594063309,0.4383630464910577,0.5510977854523734,0.8361325802615933,0.46478291403313093,0.5974563895600457,0.7779399089547491,0.39982422704211185,0.5281859300627786,tensor(60.1508),0.37106446918920694
13,0.7998835403726708,0.5107200396579502,0.6234021632251721,0.7463109425111115,0.44685836282776653,0.5590074844177205,0.843318997478867,0.4698227785351345,0.6034542222693869,0.7843836391777972,0.4100166492517324,0.5385302642323258,tensor(61.1781),0.36982010859727404
14,0.8025178026449644,0.521419424133515,0.6321272067109052,0.759219358513409,0.458959646607284,0.572085132014239,0.8448137619360012,0.4787871276903375,0.6111902125191162,0.7978853380048401,0.41953526404084246,0.5499184676055229,tensor(62.8286),0.367925568107973
15,0.7985002262589695,0.5102656256454744,0.6226434116342372,0.7490917192400418,0.44613696702404015,0.559219355233474,0.8391111111111111,0.467963812120461,0.6008433447370515,0.7839869500140283,0.406172267621303,0.5351111894178114,tensor(60.3080),0.3703221855921129
16,0.8019573978123201,0.5179080431280209,0.6293674698795181,0.7483549013892837,0.4533468995880073,0.5646398699917267,0.8432950471870656,0.4761845747097947,0.6086703981413032,0.7867744238255414,0.4151165077693947,0.5434820126104569,tensor(61.3623),0.36882048212064417
17,0.8051321138211383,0.5236501838311233,0.6345773572626469,0.7540646883828357,0.46213903920475496,0.5730663747902038,0.8473699548302491,0.4804808526459289,0.6132391321540611,0.7897072109995624,0.4220100978628583,0.5500695829950702,tensor(62.5600),0.3673731821206114
18,0.8076561618946181,0.5325319122567852,0.6418542123083051,0.7605645158234481,0.4712234800513615,0.5819115937972316,0.8475184945773181,0.4874623042921469,0.6189352216102806,0.8007583067813794,0.4301207583297478,0.5596370592598491,tensor(63.3868),0.36637840244272735
19,0.8100394316830444,0.5346387408600818,0.644136969938284,0.7636591584883704,0.4755788407953519,0.5861346045982623,0.8535077630822312,0.4905192712851654,0.6229964059917626,0.8081972870007903,0.43363530896235264,0.5644285411582552,tensor(64.2086),0.36519724525671
20,0.8025287502382616,0.5217912174164497,0.6324037450558253,0.7420651943177766,0.45886557087666147,0.5670737712564087,0.8454194300706945,0.47920023133804274,0.6116852984602404,0.7798755188422352,0.4196969283970714,0.545713367364234,tensor(61.9460),0.3673806677901029
21,0.8062064597846739,0.5258809435287314,0.636547741080581,0.7583396916855742,0.4657832810890722,0.5771020683857522,0.8475893116468196,0.4822158879662907,0.6147081281760972,0.7960967615244987,0.42579504855581823,0.5548348166867119,tensor(62.8250),0.3662699899594454
22,0.8131915951759294,0.5403808815631842,0.6492939220211947,0.7630721473150635,0.4837715347452818,0.5921393180867393,0.8548006014176273,0.4932044449952493,0.6255042699219363,0.802488166586835,0.4401228371661863,0.5684697264127704,tensor(64.4354),0.36401467928644743
23,0.8143428747306863,0.5464948155492213,0.654059131810541,0.7722938399346356,0.48729157535183826,0.5975494433788404,0.8556532841537807,0.4983269302267939,0.6298394465474482,0.8118707862944028,0.4445715840071666,0.5745343996723311,tensor(64.8081),0.3634528302193617
24,0.8143741951309253,0.5486016441525179,0.655575850323345,0.7708270788320585,0.49305446353256316,0.6014166978320641,0.8539152399663206,0.5027471392572397,0.6328817701968331,0.8042862570481699,0.4507041989434569,0.577685975974538,tensor(65.4073),0.36269345263756286
25,0.8126496157238251,0.5329037055397199,0.64369651455802,0.7674919304565033,0.47755219345236954,0.5887621937378384,0.8515625,0.4908084438385591,0.6227102387379124,0.8046513841996881,0.43875160934173635,0.5678643072446604,tensor(63.7592),0.3645442475584745
26,0.8159704852426213,0.5390589498905275,0.6492201298539765,0.7683031328719333,0.47923375285027286,0.5902780076593682,0.8553148902709271,0.49427851447928284,0.6265053932348937,0.8083018492236501,0.43887117025131916,0.5688711557189171,tensor(64.2127),0.36336028058858894
27,0.8193067783045004,0.5497583343660924,0.6579975278121137,0.7717827484166289,0.49370419243135427,0.6021909294206685,0.8577485690057239,0.501425207584583,0.6328797121852026,0.8077158095041369,0.44960814937658944,0.5776643446079738,tensor(65.3255),0.3619962995163877
28,0.8202844774273346,0.5479406783161895,0.6570077024048344,0.7777513098138169,0.4938143597315442,0.6040816833681887,0.8584539357571479,0.5023340356095344,0.6337954758678203,0.8150690277653435,0.453096801951484,0.5824240981680538,tensor(65.9108),0.3610707122331471
29,0.8218314129775621,0.5598380633700996,0.665995036489176,0.7783965013893922,0.5069721381993932,0.6140267103491112,0.8591853815036965,0.5089023836080473,0.639200933973278,0.809882904443515,0.46075991171160774,0.5873587302485139,tensor(66.6915),0.35981967470102155
30,0.8114601440278123,0.539967777915479,0.6484435073793874,0.7640694274645666,0.48509308622778724,0.5934292657654442,0.8518465909090909,0.49547651505762796,0.6265311985791522,0.8009219428896298,0.4437224290773,0.5710659815842396,tensor(64.4681),0.3625178593873509
31,0.8178939525642618,0.5441814351220722,0.6535360801726491,0.7721210407246534,0.48645326316768484,0.5968671037686566,0.8579974362626407,0.4977072747552361,0.6299772543073021,0.8111154880479419,0.4451615370507951,0.5748372535217681,tensor(64.9820),0.3612578184748717
32,0.8226619147105813,0.5530631635477341,0.6614461105209851,0.7775566534513801,0.4956754005938677,0.6054131365282815,0.8623387608373864,0.505391002602553,0.6372870761056415,0.8148810805928814,0.45221868834863466,0.5816502574752492,tensor(66.0440),0.35972633504728163
