epoch,mAP,overall_loss
0,57.5,6.948715686798096
1,76.63987731933594,5.90455174446106
2,86.28571319580078,5.077826261520386
3,67.19047546386719,4.496853590011597
4,65.6001968383789,12.950392246246338
5,85.1875,11.498976469039917
6,68.33332824707031,10.983603239059448
7,84.5,9.731767416000366
8,70.07638549804688,13.011364936828613
9,86.66666412353516,11.77375316619873
10,76.66667175292969,11.352043151855469
11,100.0,9.748356819152832
12,84.18749237060547,16.20312213897705
13,88.13591003417969,14.968105792999268
14,75.0,14.165335655212402
15,76.07638549804688,12.519682884216309
16,68.8888931274414,16.45080018043518
17,82.22222137451172,15.367642879486084
18,74.40972137451172,13.700042486190796
19,85.5,13.732142925262451
20,73.33333587646484,17.66035532951355
21,89.72222137451172,15.193079471588135
22,82.2668685913086,15.128000497817993
23,100.0,13.408051490783691
24,72.74305725097656,17.364017963409424
25,79.72222900390625,15.583590030670166
26,85.71925354003906,15.869944095611572
27,89.40972137451172,14.893024682998657
28,83.33332824707031,18.034310340881348
29,80.0,18.870097160339355
30,71.74703216552734,16.86011028289795
31,100.0,15.939373016357422
32,68.71131134033203,19.51957631111145
33,82.5,19.736616611480713
34,88.38591766357422,18.61136770248413
35,90.0,17.860229969024658
36,73.26686096191406,23.49531316757202
37,84.40972900390625,20.564047813415527
38,85.24602508544922,19.646687984466553
39,73.5,18.38852858543396
40,80.88591766357422,22.276495456695557
41,88.74305725097656,21.494890689849854
42,89.40972137451172,19.549203395843506
43,98.38591766357422,19.038740158081055
44,65.55555725097656,22.35554790496826
45,75.71924591064453,21.92207145690918
46,71.07638549804688,20.80635929107666
47,99.72222137451172,20.262766361236572
48,74.05555725097656,23.12028741836548
49,65.35713958740234,23.412368774414062
50,70.4623031616211,24.398804187774658
51,99.72222137451172,20.443650722503662
52,69.0,23.325176239013672
53,70.0,22.53707218170166
54,71.07638549804688,20.968290090560913
55,74.40972137451172,20.36323070526123
56,67.5,24.102909088134766
57,76.3888931274414,22.18317985534668
58,89.5,22.90034294128418
59,88.5793685913086,21.685612678527832
60,86.94445037841797,25.368613719940186
61,65.90972137451172,23.444454193115234
62,83.33332824707031,21.637206077575684
63,83.40972900390625,22.48435926437378
