epoch,mAP,train_loss
0,17.96446990966797,77.13727424258278
1,18.61524200439453,49.915924132816386
2,19.84002685546875,29.246522555275572
3,21.306556701660156,20.04505579812187
4,20.579580307006836,22.16546829163082
5,26.265958786010742,16.48337076580714
6,30.461137771606445,15.739259250580327
7,35.282752990722656,14.864145664941697
8,31.49476432800293,17.955072970617387
9,41.079158782958984,14.472117968967982
10,46.530582427978516,13.825621090238055
11,50.659000396728516,12.999267275371254
12,32.83855056762695,17.360245681944352
13,41.349979400634766,14.098250722128247
14,52.197086334228516,13.504074558379159
15,56.873374938964844,12.375536494784885
16,36.706878662109375,17.39480138203454
17,46.20024108886719,14.163088813660641
18,54.31904220581055,13.08046439337352
19,57.18657302856445,12.431537522210014
20,37.33304977416992,17.247500374203636
21,42.33515930175781,14.04346765790667
22,51.05020523071289,13.099725708128913
23,57.34897232055664,12.525850409553163
24,37.83502197265625,17.138296959892156
25,46.98350524902344,13.833307417612229
26,51.540489196777344,12.902026509481757
27,57.32331848144531,12.259649594624838
28,38.49024963378906,17.79184702464512
29,46.67903137207031,13.867933046250117
30,51.625545501708984,13.13779154277983
31,55.803550720214844,12.95151572757297
32,43.463836669921875,19.032768181392118
33,44.802860260009766,14.370959978255017
34,44.11324691772461,13.849682550581672
35,46.592185974121094,13.619810755290684
36,40.95765686035156,23.542185117327985
37,45.78268814086914,18.863806088765454
38,41.851280212402344,17.599100052364296
39,41.87626266479492,17.501594937036906
