epoch,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.125,0.7886265516281128,-1.0,-1.0,-1.0,0.7707403898239136,-1.0,-1.0,-1.0,0.7945054769515991,61.97180938720703
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3333333432674408,0.8845238089561462,-1.0,-1.0,-1.0,0.8407168984413147,-1.0,-1.0,-1.0,0.6932900547981262,68.79660034179688
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1666666716337204,0.807917058467865,-1.0,-1.0,-1.0,0.7011396288871765,-1.0,-1.0,-1.0,0.7226190567016602,59.95856094360352
3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,0.8217893242835999,-1.0,-1.0,-1.0,0.8700829148292542,-1.0,-1.0,-1.0,0.6591836810112,65.02639770507812
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09090909361839294,1.0,-1.0,-1.0,-1.0,0.9790695309638977,-1.0,-1.0,-1.0,0.9571428298950195,75.67803955078125
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9750688672065735,-1.0,-1.0,-1.0,0.96293705701828,-1.0,-1.0,-1.0,0.9617347121238708,97.49351501464844
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.9924242496490479,-1.0,-1.0,-1.0,0.933994710445404,-1.0,-1.0,-1.0,0.8520408272743225,94.46149444580078
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000298023224,0.9708624482154846,-1.0,-1.0,-1.0,0.9462343454360962,-1.0,-1.0,-1.0,0.6232993006706238,68.50990295410156
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.9805194735527039,-1.0,-1.0,-1.0,0.9146536588668823,-1.0,-1.0,-1.0,0.9821428656578064,84.43289947509766
9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.125,0.9924242496490479,-1.0,-1.0,-1.0,0.8841663002967834,-1.0,-1.0,-1.0,0.8864468932151794,72.20093536376953
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1111111119389534,1.0,-1.0,-1.0,-1.0,0.9114179611206055,-1.0,-1.0,-1.0,0.7540042996406555,69.41333770751953
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0714285746216774,0.9924242496490479,-1.0,-1.0,-1.0,0.9197691082954407,-1.0,-1.0,-1.0,0.5824263095855713,64.15120697021484
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.9682539701461792,80.45635223388672
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,0.9488390684127808,-1.0,-1.0,-1.0,0.9866452813148499,-1.0,-1.0,-1.0,0.9379251599311829,78.08523559570312
14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,1.0,-1.0,-1.0,-1.0,0.9833333492279053,-1.0,-1.0,-1.0,0.8456305861473083,76.9740982055664
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10000000149011612,1.0,-1.0,-1.0,-1.0,0.7991554737091064,-1.0,-1.0,-1.0,0.7377551198005676,65.92276763916016
